1645,由盛转衰,【由盛转衰】这一时期，茶的技术以继承为主，没有得到大的发展，是由盛转衰的一个时期。,,0
1646,功夫茶,【功夫茶】随着清代时期六大茶类逐级出现，清代饮茶和鉴赏技术日益精湛，泡茶方法呈现百花齐放的景象。其中最具特色的饮用技艺首推“工夫茶泡法”。,,1
1652,伦敦第一家咖啡馆,伦敦开设第一家咖啡馆，之后遍布伦敦和其他城市。起初咖啡馆只卖咖啡，后来增加了巧克力和茶饮料。,,0
1657,远销海外,【远销海外】1657年，在法国市场销售，1669，英属印度公司从万丹运茶入英，1690年，中国茶获美国波士顿出售的特许执照,,1
1657,首次抵达英国,茶叶首次抵达英国，最早在咖啡馆进行销售和消费。茶被当作一种“热啤酒”，事先泡好后放在木桶里，有顾客需要时，从桶里舀出来,,0
1658,茶的英国有明确日期的最早记载,伦敦《政治快报》（Mercurius Politicus）刊出一则茶广告，应该是茶在英国有明确日期的最早记载。,,0
1659,茶叶关税定为119%,随着茶越来越受欢迎，经济头脑发达的查理二世将茶叶关税定为119%，但这一价格实在太高，使得英国茶叶走私泛滥,,1
1660,英国跌宕起伏的茶的消费史,茶叶进入英国后，演绎了一部跌宕起伏的茶的消费史，丰富多彩的茶的社会文化史。作为一种典型的“中国造”全球化商品，茶深深改变了英国人的饮食文化、消费习惯和生活方式。,,1
1660,《消费税条例》,英国政府发布《消费税条例》规定，对咖啡征收消费税，每加仑4便士，而茶叶和巧克力消费税则高达8便士,,0
1662,一箱价值不菲的红茶,葡萄牙凯瑟琳公主带着丰厚的嫁妆嫁给了英王查理二世，包括战略价值重大的孟买港，据说还有一箱价值不菲的红茶——凯瑟琳也因此被誉为“饮茶皇后”。,,1
1664,海外进口茶叶最早记载,东印度公司海外进口茶叶最早记载，公司董事部用4镑5先令购买了2磅2盎司茶叶，作为礼物献给英王查理二世。,,1
1669,第一宗海外进口茶叶商业订单,东印度公司进口茶叶143磅，成为公司第一宗海外进口茶叶商业订单。,,0
1680,贵族社交的重要组成部分,17世纪80年代后，饮茶甚至已经成为英国上流社会和贵族社交、家庭生活的重要组成部分。,,1
1688,投资和货物清单,茶叶被东印度公司首次列入驶往中国商船的“投资和货物清单”。,,1
1694,“多罗西号”（Dorothy）商船的新指令,“多罗西号”（Dorothy）商船接到指令，被要求进口纺织品、中国瓷器、漆器以及鸟类，除此之外，他们还被要求带回一种新的商品：大量桶装上乘好茶。,,1
1709,贸易垄断权,东印度公司获得进口中国茶叶的贸易垄断权,,0
1717,直接贸易的权利,东印度获得直接与中国广州进行贸易的权利。,,0
1718,《续茶经》始见小种,【《续茶经》始见小种】武夷茶在山上者为岩茶，水边者为洲茶…..其最佳者名日工夫茶，工夫之上又有小种。,,0
1728,万里茶道从这里开始,【万里茶道从这里开始】中俄签订《哈克图条约》，武夷茶开始源源不断的通过陆路由崇安县运往俄罗斯圣彼得堡。,,0
1730,来喝下午茶吧,【来喝下午茶吧】自凯瑟琳公主嫁往英国，茶逐渐在英国贵妇阶层中形成以红茶为主的饮下午茶风气,,0
1749,茶在国外的广泛推广,零售店店主家庭的预算中，每周要花3先令给全家人买面包，花4先令买茶叶和糖。正如一位评论家1757年所言，无论男女老少，身体健壮的还是文弱的，富有的还是穷人、乞丐，当他们口渴的时候会喝这种饮料，不渴的时候还会喝这种饮料。,,1
1750,零售茶叶业务的扩展,到18世纪下半叶，零售茶叶的业务逐渐从药店转到食品杂货店，反映了茶从药品到饮料的角色转变，真正成为广大社会下层平民的日常饮料。,,1
1772,饮茶有害论,饮茶有害论。早在1722年，当时饮茶还不太普遍的时候，有人就通过给动物喝茶的方法来测试茶叶的副作用。,,0
1773,波士顿倾茶事件,波士顿倾茶事件，由殖民地的民间反抗组织“自由之子”领导并行动，反对英国政府在殖民地征税并借此控制殖民地政府，以及反对英国东印度公司利用法案垄断北美的茶叶进口贸易，最终导致1775年美国革命战争爆发。,,1
1775,茶进入美国,随着英国人移民北美，茶因此进入美国，并在公元（1775年）见证了因「茶叶条款」引发的美国独立战争事件。,,1
1784,《抵代税法》,茶叶《抵代税法》（Commuta⁃tionAct）通过，茶叶关税率由之前的119%，下降到12.5%。茶叶关税的大幅降低，从长远看符合政府的财政利益，政府每年从关税和消费税中至少获利数十万镑。,,1
1790,饮茶习俗已经随处可见,英国从宫殿到茅舍，饮茶习俗已经随处可见，反映了茶已经成为廉价大众消费饮品。,,1
1792,前所未有的繁荣,【前所未有的繁荣】武夷茶出口量较前50年有明显增长，1792年达到1835万公斤，是上世纪末平均出口量的815倍,,0
1800,印度阿萨姆茶叶产地。,因鸦片引发中国与英国之间的贸易危机迫使英国考虑在印度阿萨姆地区另外开辟茶叶产地。,,0
1823,印度野生种茶树,英国人在阿萨姆发现了印度野生种茶树并开始扦插培育,,0
1830,茶叶消费税占比,茶叶消费税占英国国内各项消费税的三分之二。,,1
1838,印度第一批茶叶运抵伦敦,印度第一批茶叶运抵伦敦，并成为了迄今为止欧洲另一茶叶主要来源地之一。,,1
1839,种植红茶,英国人开始在斯里兰卡锡兰尝试种植红茶,,0
1840,用鸦片换茶叶,【用鸦片换茶叶】英国等欧洲国家发动鸦片战争，签订《南京条约》，五道口通商，进一步促进茶叶流通。,,1
1841,下午茶,由贝德福德公爵夫人安娜·玛丽亚（AnnaMaria）引入的下午茶开始在贵族社交圈中风行，意味着红茶中加糖加奶、再配以糕点的饮茶方式成为新的时代风尚。,,1
1843,植物学家,【植物学家】受英国政府委托，植物学家罗伯特·福琼多次乔装进入武夷山茶区，学习中国茶技艺。,,1
1843,建立茶园,英国人用中国茶种在大吉岭种植茶叶，随后逐渐建立了大量在阿萨姆和大吉岭的茶园。,,1
1850,急需正名，正山与外山,【急需正名，正山与外山】武夷茶的火爆造成了福建其他地区的效仿，为区别桐木村和周边地区的茶，就有了“正山”和“外山”的概念,,1
1851,茶叶大盗,【茶叶大盗】第二次来到中国的福琼将武夷山茶树和工人骗到了印度大吉岭,,0
1866,中国茶依然占领市场,中国茶依然占领市场。这个时候，虽然有印度红茶开始销售，可市场比例只有4%,,0
1872,锡兰红茶开始量产,锡兰红茶开始量产，苏伊士运河开通，蒸汽机被应用到茶叶生产中，大大降低了生产成本，茶叶价格被再次降低，在英国成为人人都喝得起的大众饮品。,,1
1876,新的工艺出现,【新的工艺出现】第一台切茶机出现，红碎茶更得到了欧洲市,,0
1886,衰落调零时期的开始,中国茶叶生产的衰落凋零时期的开始，因受到政治、经济方面影响、国际茶叶市场竞争失利，国内茶叶生产近乎停滞。,,1
1896,立顿茶的印刷广告,立顿茶一则刊登在1896年12月18日《图形报》上的印刷广告。报纸上的广告推销这种茶叶来自阳光沐浴下的锡兰，茶叶价格从每磅1先令到1先令7便士不等。,,1
1900,印度也可以产红茶啦,【印度也可以产红茶啦】中国茶叶及制茶技术成功移植至印度，印度茶叶生产兴旺发达并最终扩及全球,,1
1903,突然急转直下的下滑,突然急转直下的下滑。更方便的工艺，更便宜的价格，更大的产量，印度红茶在市场的比例上升到59%。,,1
